,Random Forest,Decision Tree,SVM,Logistic Regression,kNN
Accuracy,0.402381,0.409534,0.399424,0.504728,0.499123
Precision,0.9406845213719548,0.9222037710466021,0.7667948807608924,0.9774691228602118,0.8915120536171636
Recall,0.26125680981548577,0.27720735327382945,0.3463954577219611,0.3829469962252992,0.41788983231836385
F1-score,0.40893882375048834,0.4262786318508025,0.47721266438949994,0.5503005429749215,0.5690442737215067
ROC-AUC,0.6875516078520156,0.5941895615031894,0.46021511050090547,0.6756181240906732,0.6710710385157693
Train Time (s),2.874483346939087,0.06771349906921387,36.15763282775879,0.014998197555541992,0.018392086029052734
Inference Latency (ms),6.923074722290039,0.1974964141845703,0.6614065170288086,0.121612548828125,1.096508502960205
Peak Memory (MB),2.1735715866088867,1.4377918243408203,0.8573970794677734,0.7259254455566406,1.0239076614379883
